ligando,score_kcal_mol
10004224,-5.674
10005223,-7.034
10005229,-5.999
10005673,-6.655
10006309,-7.866
10006529,-6.744
10007780,-6.094
10007978,-6.035
10008205,-6.871
10008294,-6.518
10008335,-6.054
10008377,-7.687
10008385,-6.527
10008418,-5.957
10008602,-6.140
10008652,-6.951
10008663,-7.837
10008672,-7.988
10008933,-7.667
10009028,-7.283
10009134,-8.100
10009195,-8.615
10009584,-5.975
10009642,-6.914
10009857,-8.504
10009898,-7.034
10010061,-7.712
10010102,-6.931
10010103,-7.247
10010111,-7.755
10010428,-8.454
10010460,-7.485
10010558,-8.348
10010744,-8.057
10011721,-6.195
10057,-9.194
10570,-6.437
10578,-8.217
10625,-9.162
10675,-7.246
10676,-7.341
10798,-7.907
10867,-7.865
10869,-7.539
10991,-6.913
11009,-5.731
11044,-6.119
11073,-6.439
11092,-7.698
11142,-6.196
11163,-8.711
11181,-7.554
11182,-6.712
11183,-6.992
11184,-6.747
11213,-6.442
11215,-6.787
11240,-8.013
11311,-8.657
11339,-8.684
11422,-8.461
11433,-6.091
11435,-7.063
11441,-8.977
11593,-8.720
11594,-6.593
11612,-7.115
11621,-7.724
11622,-6.440
11679,-6.178
11686,-6.949
11715,-5.836
11743,-8.408
11765,-5.454
11767,-8.582
11768,-8.313
11773,-8.501
11780,-8.222
11788,-8.714
11800,-7.535
11845,-7.434
11882,-8.349
11931,-6.384
11967,-8.120
11973,-7.548
11996,-7.035
11997,-7.304
12018,-8.276
12032,-6.271
12054,-8.422
12071,-8.388
12077,-8.401
12700,-6.727
13012,-6.272
13062,-6.295
13115,-8.190
13135,-7.893
13176,-8.033
13183,-7.542
13245,-7.892
13258,-7.729
13305,-9.126
13317,-8.672
13368,-7.108
13563,-9.112
13564,-6.140
13577,-7.434
13623,-5.790
13668,-8.753
13680,-6.949
13686,-9.145
13803,-6.359
13825,-6.181
13827,-6.582
13857,-7.183
13883,-6.325
13885,-5.760
13888,-9.156
13910,-6.760
13953,-8.276
13954,-8.148
13974,-8.386
14012,-6.447
14024,-7.625
14055,-7.238
14061,-6.767
14062,-8.155
14119,-7.870
14127,-6.784
14164,-7.552
14174,-8.167
14175,-7.908
14278,-7.475
14293,-7.762
14298,-8.584
14315,-7.973
14340,-6.658
14352,-6.460
14354,-8.116
14358,-7.064
14363,-7.711
14364,-7.775
14367,-8.259
14371,-8.037
14372,-8.246
14374,-8.136
14376,-8.565
14440,-8.500
14461,-8.164
14496,-7.208
14506,-9.248
14512,-7.929
14517,-8.379
14518,-8.697
14533,-7.486
14551,-8.258
14554,-8.305
14566,-8.877
14568,-9.616
14570,-6.616
14616,-5.956
14648,-9.415
14715,-7.942
14724,-6.286
14726,-5.427
14738,-8.560
14744,-6.952
14770,-6.979
14793,-7.468
14839,-8.603
14862,-7.681
14881,-10.053
14913,-7.623
14943,-7.172
14972,-5.848
14995,-6.130
15029,-7.365
15055,-7.810
15065,-8.106
15074,-7.587
15142,-7.073
15148,-7.356
15180,-8.663
15182,-9.014
15187,-9.109
15192,-6.983
15215,-7.624
15261,-7.876
15264,-8.011
15267,-7.954
15268,-8.774
15272,-7.075
15283,-9.095
15294,-8.718
15322,-7.058
15325,-9.833
15337,-8.307
15356,-6.549
15359,-6.701
15388,-8.630
15404,-8.631
15413,-6.781
15440,-7.840
15480,-7.897
15484,-8.177
15488,-7.676
15519,-6.126
15537,-9.597
15556,-8.835
15557,-7.661
15559,-7.209
15579,-7.797
15580,-6.117
15591,-7.687
15596,-7.632
15601,-7.847
15632,-8.423
15720,-6.986
15876,-6.681
15888,-7.358
15926,-7.685
15938,-7.637
15966,-8.171
15969,-7.768
15990,-6.313
16031,-7.934
16044,-7.856
16079,-6.057
16143,-5.943
16144,-8.048
16200,-8.406
16204,-6.558
16234,-8.013
16252,-8.292
16266,-6.573
16290,-6.233
16297,-9.322
16339,-6.940
16421,-8.029
16435,-6.778
16452,-6.747
16460,-6.812
16465,-6.252
16475,-8.045
16482,-7.461
16496,-7.429
16499,-8.741
16500,-6.387
16516,-7.542
16547,-7.806
16551,-7.827
16553,-8.035
16664,-9.083
16682,-7.931
16712,-7.794
16713,-6.957
16727,-8.068
16732,-8.578
16733,-7.911
16734,-6.735
16770,-7.766
16774,-6.493
16779,-8.671
16804,-6.834
16807,-6.046
16823,-7.652
16824,-7.277
16831,-6.844
16867,-8.388
16882,-7.315
16894,-9.154
16945,-7.665
16956,-7.628
16978,-8.154
16981,-6.828
17001,-9.386
17035,-8.943
17124,-7.378
17148,-6.908
17177,-6.282
17181,-7.498
17188,-7.071
17214,-7.192
17235,-6.716
17273,-6.648
17328,-7.128
17380,-8.224
17382,-7.119
17387,-8.898
17462,-8.683
17495,-9.894
17503,-7.215
17521,-7.504
17548,-5.630
17553,-6.947
17593,-6.890
17622,-5.916
17649,-8.066
17669,-8.875
17678,-6.461
17691,-7.725
17692,-7.537
17693,-8.948
17695,-8.206
17696,-8.191
17713,-7.804
17741,-8.370
17807,-8.040
17811,-7.984
17858,-9.184
17893,-7.695
17919,-6.064
17931,-8.265
17943,-7.644
17945,-7.064
17948,-5.895
17950,-6.503
