ligando,score_kcal_mol
11621,-8.1
33184,-8.9
70680,-7.4
10005229,-6.2
23806,-9.3
33190,-8.2
16482,-8.2
31187,-8.1
14533,-7.6
14371,-8.8
20447,-7.9
21852,-7.2
17973,-7.5
90330,-6.3
10010103,-7.9
16234,-7.7
10007780,-6.9
23839,-7.2
35334,-8.9
35253,-8.9
30727,-6.3
19155,-8.6
80772,-7.0
80345,-9.4
17387,-8.4
14363,-8.3
15876,-7.7
30077,-6.5
23065,-8.8
23103,-8.8
24117,-8.9
28103,-8.9
21526,-6.5
16460,-7.5
24025,-7.9
33155,-7.1
31190,-8.3
17811,-8.5
10008602,-6.6
28857,-8.4
15404,-9.0
17553,-7.1
17678,-7.6
21275,-8.9
34064,-7.5
21115,-8.5
32505,-6.8
19903,-9.0
13245,-8.3
15990,-6.7
36534,-6.6
35110,-9.9
33707,-8.8
15926,-7.8
11686,-8.6
24118,-6.3
21270,-9.9
31259,-6.1
19889,-8.8
9002737,-7.4
20274,-8.4
16144,-9.0
28297,-7.4
32840,-6.8
11213,-7.1
28978,-8.2
13258,-8.1
28423,-7.6
22200,-8.1
90262,-6.9
27255,-7.3
29527,-11.1
80123,-8.6
29015,-8.2
36743,-8.5
17692,-8.6
18317,-8.1
14012,-6.9
16981,-7.0
35067,-9.2
21335,-9.6
10008933,-8.7
14367,-8.6
16421,-8.5
13974,-8.4
27215,-8.3
21698,-8.3
26091,-8.9
21001,-8.8
30685,-8.5
28187,-7.6
33256,-8.0
22286,-7.5
31160,-6.4
17713,-9.1
17893,-7.2
27740,-7.8
27043,-8.5
20867,-8.0
34071,-7.8
22100,-7.1
20982,-8.8
24387,-5.9
23500,-10.3
14517,-8.5
34216,-8.2
22170,-8.1
33670,-7.3
27834,-8.3
37047,-8.3
26668,-7.6
17931,-8.4
25081,-10.1
16682,-7.9
11311,-8.9
9003320,-5.8
13012,-7.0
25012,-7.5
18758,-8.7
11435,-7.1
28866,-9.1
17001,-10.0
19231,-8.8
20301,-7.9
21264,-7.7
11441,-9.1
10991,-7.1
24169,-8.8
9000249,-6.7
15356,-7.5
19915,-7.7
29528,-7.9
28769,-7.3
15283,-8.9
20099,-8.1
20059,-8.3
21753,-7.9
22958,-7.1
26032,-8.4
15969,-8.0
23085,-8.5
29638,-6.6
23804,-9.2
13885,-5.9
20379,-8.2
